State,Republican,Democrat
Alabama,6,1
Alaska,1,0
Arizona,4,5
Arkansas,4,0
California,11,42
Colorado,3,4
Connecticut,0,5
Delaware,0,1
Florida,16,11
Georgia,8,6
Hawaii,0,2
Idaho,2,0
Illinois,5,13
Indiana,7,2
Iowa,3,1
Kansas,3,1
Kentucky,5,1
Louisiana,5,1
Maine,0,2
Maryland,1,7
Massachusetts,0,9
Michigan,7,7
Minnesota,4,4
Mississippi,3,1
Missouri,6,2
Montana,1,0
Nebraska,3,0
Nevada,1,3
New Hampshire,0,2
New Jersey,2,10
New Mexico,1,2
New York,8,19
North Carolina,8,5
North Dakota,1,0
Ohio,12,4
Oklahoma,5,0
Oregon,1,4
Pennsylvania,9,9
Rhode Island,0,2
South Carolina,6,1
South Dakota,1,0
Tennessee,7,2
Texas,23,13
Utah,4,0
Vermont,0,1
Virginia,4,7
Washington,3,7
West Virginia,3,0
Wisconsin,5,3
Wyoming,1,0